rank,anum,verdict,engine,file
5990,A208498,PROOF,transfer-matrix,papers/05501-06000/05990-PROOF.pdf
5991,A220685,PROOF,reciprocal-link,papers/05501-06000/05991-PROOF.pdf
5992,A237931,PROOF,subblock-difference,papers/05501-06000/05992-PROOF.pdf
5993,A298543,PROOF,transfer-matrix,papers/05501-06000/05993-PROOF.pdf
5994,A301953,PROOF,transfer-matrix,papers/05501-06000/05994-PROOF.pdf
5995,A303965,PROOF,transfer-matrix,papers/05501-06000/05995-PROOF.pdf
5996,A305284,PROOF,transfer-matrix,papers/05501-06000/05996-PROOF.pdf
5997,A305343,PROOF,transfer-matrix,papers/05501-06000/05997-PROOF.pdf
5998,A318218,PROOF,transfer-matrix,papers/05501-06000/05998-PROOF.pdf
5999,A205994,PROOF,edge-count,papers/05501-06000/05999-PROOF.pdf
6000,A209956,PROOF,transfer-matrix,papers/05501-06000/06000-PROOF.pdf
6001,A254838,PROOF,monotone-subblock,papers/06001-06500/06001-PROOF.pdf
6002,A220619,PROOF,reciprocal-link,papers/06001-06500/06002-PROOF.pdf
6003,A254235,PROOF,monotone-subblock,papers/06001-06500/06003-PROOF.pdf
6004,A259295,PROOF,clockwise-perimeter,papers/06001-06500/06004-PROOF.pdf
6005,A207585,PROOF,transfer-matrix,papers/06001-06500/06005-PROOF.pdf
6006,A207706,PROOF,transfer-matrix,papers/06001-06500/06006-PROOF.pdf
6007,A207859,PROOF,transfer-matrix,papers/06001-06500/06007-PROOF.pdf
6008,A207695,PROOF,transfer-matrix,papers/06001-06500/06008-PROOF.pdf
6009,A251446,PROOF,transfer-matrix,papers/06001-06500/06009-PROOF.pdf
6010,A237803,PROOF,order-statistic,papers/06001-06500/06010-PROOF.pdf
6011,A231766,PROOF,neighbour-set,papers/06001-06500/06011-PROOF.pdf
6012,A259512,PROOF,clockwise-perimeter,papers/06001-06500/06012-PROOF.pdf
6013,A259521,PROOF,clockwise-perimeter,papers/06001-06500/06013-PROOF.pdf
6014,A241613,PROOF,window-word,papers/06001-06500/06014-PROOF.pdf
6015,A251265,PROOF,transfer-matrix,papers/06001-06500/06015-PROOF.pdf
6016,A251323,PROOF,transfer-matrix,papers/06001-06500/06016-PROOF.pdf
6017,A183807,PROOF,subblock-condition,papers/06001-06500/06017-PROOF.pdf
6018,A140906,PROOF,planepartition-box,papers/06001-06500/06018-PROOF.pdf
6019,A140919,PROOF,planepartition-box,papers/06001-06500/06019-PROOF.pdf
6020,A184193,PROOF,subblock-multiset,papers/06001-06500/06020-PROOF.pdf
6021,A184203,PROOF,subblock-multiset,papers/06001-06500/06021-PROOF.pdf
6022,A275563,PROOF,transfer-matrix,papers/06001-06500/06022-PROOF.pdf
6023,A183716,PROOF,clockwise-perimeter,papers/06001-06500/06023-PROOF.pdf
6024,A252161,PROOF,subblock-3x3,papers/06001-06500/06024-PROOF.pdf
6025,A297313,PROOF,transfer-matrix,papers/06001-06500/06025-PROOF.pdf
6026,A302622,PROOF,transfer-matrix,papers/06001-06500/06026-PROOF.pdf
6027,A197777,PROOF,transfer-matrix,papers/06001-06500/06027-PROOF.pdf
6028,A206410,PROOF,perimeter-cycle,papers/06001-06500/06028-PROOF.pdf
6029,A281562,PROOF,transfer-matrix,papers/06001-06500/06029-PROOF.pdf
6030,A253745,PROOF,monotone-subblock,papers/06001-06500/06030-PROOF.pdf
6031,A197370,PROOF,transfer-matrix,papers/06001-06500/06031-PROOF.pdf
6032,A202885,PROOF,transfer-matrix,papers/06001-06500/06032-PROOF.pdf
6033,A221822,PROOF,transfer-matrix,papers/06001-06500/06033-PROOF.pdf
6034,A251898,PROOF,subblock-line-sum,papers/06001-06500/06034-PROOF.pdf
6035,A255658,PROOF,window-word,papers/06001-06500/06035-PROOF.pdf
6036,A302168,PROOF,transfer-matrix,papers/06001-06500/06036-PROOF.pdf
6037,A234120,PROOF,transfer-matrix,papers/06001-06500/06037-PROOF.pdf
6038,A253744,PROOF,monotone-subblock,papers/06001-06500/06038-PROOF.pdf
6039,A251188,PROOF,monotone-statistic,papers/06001-06500/06039-PROOF.pdf
6040,A197213,PROOF,transfer-matrix,papers/06001-06500/06040-PROOF.pdf
6041,A254973,PROOF,subblock-3x3,papers/06001-06500/06041-PROOF.pdf
6042,A295844,PROOF,transfer-matrix,papers/06001-06500/06042-PROOF.pdf
6043,A297730,PROOF,transfer-matrix,papers/06001-06500/06043-PROOF.pdf
6044,A207767,PROOF,transfer-matrix,papers/06001-06500/06044-PROOF.pdf
6045,A232276,PROOF,transfer-matrix,papers/06001-06500/06045-PROOF.pdf
6046,A237078,PROOF,subblock-coloring,papers/06001-06500/06046-PROOF.pdf
6047,A258524,PROOF,monotone-subblock,papers/06001-06500/06047-PROOF.pdf
6048,A207562,PROOF,transfer-matrix,papers/06001-06500/06048-PROOF.pdf
6049,A207948,PROOF,transfer-matrix,papers/06001-06500/06049-PROOF.pdf
6050,A235242,PROOF,transfer-matrix,papers/06001-06500/06050-PROOF.pdf
6051,A234171,PROOF,transfer-matrix,papers/06001-06500/06051-PROOF.pdf
6052,A234186,PROOF,transfer-matrix,papers/06001-06500/06052-PROOF.pdf
6053,A186056,PROOF,subblock-3x3,papers/06001-06500/06053-PROOF.pdf
6054,A188853,PROOF,transfer-matrix,papers/06001-06500/06054-PROOF.pdf
6055,A250671,PROOF,monotone-statistic,papers/06001-06500/06055-PROOF.pdf
6056,A296735,PROOF,transfer-matrix,papers/06001-06500/06056-PROOF.pdf
6057,A296823,PROOF,transfer-matrix,papers/06001-06500/06057-PROOF.pdf
6058,A298089,PROOF,transfer-matrix,papers/06001-06500/06058-PROOF.pdf
6059,A298663,PROOF,transfer-matrix,papers/06001-06500/06059-PROOF.pdf
6060,A301844,PROOF,transfer-matrix,papers/06001-06500/06060-PROOF.pdf
